Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Argentina,ARG,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,1.06450406584732,1.10594698846639,0.99786070605979,0.88134708952346
Argentina,ARG,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,0.929774283782705,0.880017998437689,0.891536697840004,1.04566964794435
Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,6.26456582010254,5.23162237725058,4.53787889681146,5.11101651115706
Argentina,ARG,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,7.00203274155281E-05,6.91602190315363E-05,0.000118583173820324,0.000100896618516774
Argentina,ARG,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,0.129999995231628,0.0599999986588955,0.100000001490116,0.0599999986588955
Argentina,ARG,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,22.8799991607666,22.4400005340576,21.9099998474121,21.8400001525879
Argentina,ARG,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,76.9899978637695,77.5,77.9899978637695,78.0999984741211
Argentina,ARG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,26.1799164832469,24.2825320419979,22.6877806247463,21.7900494664787
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,12.5270951690009,11.3202833596733,14.4366857499034,17.6959440658721
Argentina,ARG,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,62.8534166501818,59.8249232905339,54.4531680056896,58.7665374092182
Argentina,ARG,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,3.62640695118077,4.17929799620689,6.86536203860505,6.48775544705604
Argentina,ARG,Forest area (% of land area),AG.LND.FRST.ZS,10.6003968297469,10.5598368832422,10.5203731515078,10.4801786099266
Argentina,ARG,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,0.115194401314928,0.125962229858366,0.150146455085936,0.140638454031791
Argentina,ARG,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,2.49626797447559,2.78500091311244,4.11937463447478,3.59778808100214
Argentina,ARG,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,8.40969332899949,8.16691793965224,9.59245213534185,8.5363177510911
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,12220,13140,12430,11250
Argentina,ARG,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,8.441388036,8.6858447707,7.5680014564,8.0964713155
Argentina,ARG,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,0.0891312865,0.1145843613,0.0599615932,0.0724558933
Argentina,ARG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,13.5667926798789,13.9693177780045,16.3258502050892,14.518503119375
Argentina,ARG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,22.0541072112108,21.782123219335,23.7195923321304,24.052388220108
Argentina,ARG,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,16.2728419653326,15.8771787647257,15.0699719483025,14.763099789785
Argentina,ARG,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,25.6479858474927,27.6743401952858,19.4580495124027,16.5548699236002
Argentina,ARG,Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN,84.0543386020443,83.5951651465604,78.7079065454975,79.5866918659758
Argentina,ARG,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,13.4880259708051,12.8351683415363,14.0601434041581,14.469857210653
Argentina,ARG,Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,44.1184930023331,45.4234319753323,46.2427555472651,42.6965949741695
Argentina,ARG,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,27.6198410090388,28.094098649751,27.6122942685892,26.3391750352138
Argentina,ARG,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,20.4045915355847,19.5114056862345,24.2488972103555,25.2781192719693
Argentina,ARG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.813140077928875,0.856137916373543,0.745498854953045,0.706186670516138
Argentina,ARG,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0.145542032255227,0.102304062124549,0.184786908826945,0.0533051968560682
Argentina,ARG,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,0.137954537726041,0.174177317313917,0.379366357609044,0.344565692508551
Argentina,ARG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,0.537246824743345,0.723847251357923,1.41509678217918,1.53257384605461
Argentina,ARG,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,3.21486759943083,3.1902579096774,0.475469083748085,0.440474605599592
Argentina,ARG,Ores and metals imports (% of merchandise imports),TM.VAL.MMTL.ZS.UN,2.21738549093507,2.34639508796201,3.02821216767908,3.15470206136797
Argentina,ARG,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,4.0013,3.9901,..,..
Argentina,ARG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,56.1222358547004,57.3499373815692,56.3697502721818,54.9588429102213
Argentina,ARG,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,0.936007816366956,1.12636002087379,2.12951508687493,2.07118408606953
Argentina,ARG,Trade (% of GDP),NE.TRD.GNFS.ZS,26.0938878488799,25.2896011376779,30.7625359549926,32.2144471852471
Australia,AUS,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,3.1669246341282,2.87482998901218,2.58928758760938,2.13478726789464
Australia,AUS,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,0.704552976869098,0.684263945659918,0.759294277703101,0.662080982647874
Australia,AUS,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.40423129264832,2.70247380513086,2.45780397255264,2.11686400565607
Australia,AUS,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,0.595087742207764,0.7809703488499,0.793072399689025,0.6583771809917
Australia,AUS,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,2.61999988555908,2.59999990463257,2.61999988555908,2.55999994277954
